,Ticker,Date,Time,Headline,compound,pos,neu,neg,sentiment
157,TSLA,2021-04-19,04:20PM,"US STOCKS-Wall Street slips off record highs, Tesla drops after fatal crash",-0.7351,0.0,0.617,0.383,-1
158,TSLA,2021-04-19,04:07PM,Teslas Fiery Crash Adds to Drag on Already Wobbly EV Stocks,-0.7184,0.0,0.533,0.467,-1
159,TSLA,2021-04-19,04:01PM,"US STOCKS-Wall Street slips off record highs, Tesla drops after fatal crash",-0.7351,0.0,0.617,0.383,-1
160,TSLA,2021-04-19,03:58PM,Its time to notice Teslas Autopilot death toll,-0.5994,0.0,0.642,0.358,-1
161,TSLA,2021-04-19,02:49PM,How Tesla could be impacted by the fatal crash in Texas,-0.7351,0.0,0.592,0.408,-1
162,TSLA,2021-04-19,02:06PM,"US STOCKS-Wall Street slips from all-time peaks, Tesla drops after fatal crash",-0.7351,0.0,0.617,0.383,-1
163,TSLA,2021-04-19,01:33PM,Tesla crash investigation,-0.4019,0.0,0.426,0.574,-1
164,TSLA,2021-04-19,01:25PM,U.S. agencies probe fatal Tesla crash believed to be driverless,-0.7351,0.0,0.563,0.437,-1
165,TSLA,2021-04-19,12:30PM,Tesla (TSLA) Reports Next Week: Wall Street Expects Earnings Growth,0.3818,0.224,0.776,0.0,1
166,TSLA,2021-04-19,12:26PM,"Dow Jones Slips As Boeing Weighs, But Coca-Cola Gains; Here's Why GameStop Is Soaring",0.34,0.156,0.844,0.0,1
167,TSLA,2021-04-19,12:19PM,US STOCKS-Wall Street slips from record levels; Tesla drops after fatal car crash,-0.7351,0.0,0.64,0.36,-1
168,TSLA,2021-04-19,11:52AM,U.S. agencies probe fatal Tesla crash believed to be driverless,-0.7351,0.0,0.563,0.437,-1
169,TSLA,2021-04-19,11:32AM,UPDATE 3-U.S. agencies probe fatal Tesla crash believed to be driverless,-0.7351,0.0,0.592,0.408,-1
170,TSLA,2021-04-19,11:28AM,Why Tesla Stock Dropped on Monday,0.0,0.0,1.0,0.0,0
171,TSLA,2021-04-19,10:56AM,Tesla Drags Nasdaq Lower on Crash; NVIDIA Buy Faces Regulatory Challenge,-0.6486,0.087,0.47,0.443,-1
172,TSLA,2021-04-19,10:45AM,Dow Jones Slips As Coca-Cola Passes Buy; Tesla Down After Deadly Crash; GameStop CEO Quits,-0.4019,0.0,0.838,0.162,-1
173,TSLA,2021-04-19,10:29AM,"Dow Jones, S&P 500 Ease From Record Highs; Coca-Cola Rises On Earnings; Nvidia, Tesla Stock Drag On Nasdaq",0.1531,0.123,0.784,0.093,1
174,TSLA,2021-04-19,10:26AM,"US STOCKS-S&P 500, Dow slip from record highs; Coca-Cola rises on results",0.0,0.0,1.0,0.0,0
175,TSLA,2021-04-19,10:21AM,Tesla Stock Falls After Potential Autopilot Crash,-0.4019,0.0,0.69,0.31,-1
176,TSLA,2021-04-19,10:13AM,Tesla autopilot car crash leaves two men dead,-0.7906,0.0,0.462,0.538,-1
177,TSLA,2021-04-19,09:44AM,"Tesla With No One Driving Crashes in Texas, Killing Two",-0.765,0.0,0.548,0.452,-1
178,TSLA,2021-04-19,09:14AM,Tesla's stock drops after reports of fatal crash of vehicle with apparently no driver,-0.8126,0.0,0.567,0.433,-1
179,TSLA,2021-04-19,08:20AM,"Dow Jones Futures Fall, Bitcoin Slumps As Stock Market Rally Enters Power Trend; Square, Apple, Tesla In Focus",0.0,0.0,1.0,0.0,0
180,TSLA,2021-04-19,08:00AM,How Investors Maxed Out Gains From This Record $22 Trillion Rally,0.34,0.194,0.806,0.0,1
181,TSLA,2021-04-19,05:25AM,"15 Best Stocks in the Past Week: Novavax, Moderna Surge Higher",0.6369,0.296,0.704,0.0,1
182,TSLA,2021-04-19,04:16AM,Chinas $87 Billion Electric-Car Giant Hasnt Sold a Vehicle Yet,0.0,0.0,1.0,0.0,0
183,TSLA,2021-04-19,04:14AM,Cryptocurrency prices stabilise after wild weekend,0.0,0.0,1.0,0.0,0
184,TSLA,2021-04-19,03:25AM,Bitcoin and Other Cryptocurrencies Stabilize After Weekend Rout,0.0,0.0,1.0,0.0,0
185,TSLA,2021-04-18,08:00PM,Further reading,0.0,0.0,1.0,0.0,0
